timestamp_ms,envelope,envelope_db,noise_floor_db,snr_db,status,pos_mag,neg_mag
10.0,0.000902,-60.90,0.00,-60.90,0,0.001674,0.002496
20.0,0.002251,-52.95,0.00,-52.95,0,0.003807,0.003829
30.0,0.002960,-50.57,0.00,-50.57,0,0.004427,0.001300
40.0,0.003037,-50.35,0.00,-50.35,0,0.001901,0.002595
50.0,0.007266,-42.77,0.00,-42.77,0,0.015800,0.006632
60.0,0.008252,-41.67,0.00,-41.67,0,0.004750,0.009424
70.0,0.008246,-41.68,0.00,-41.68,0,0.006691,0.004792
80.0,0.008426,-41.49,0.00,-41.49,0,0.006788,0.005675
90.0,0.008704,-41.21,0.00,-41.21,0,0.004198,0.008356
100.0,0.009174,-40.75,-49.85,9.10,2,0.007695,0.006805
110.0,0.009507,-40.44,-49.85,9.41,2,0.010241,0.000935
120.0,0.009873,-40.11,-49.85,9.74,2,0.005083,0.009445
130.0,0.008955,-40.96,-49.85,8.89,2,0.003638,0.005759
140.0,0.007633,-42.35,-49.85,7.51,2,0.003981,0.002203
150.0,0.006654,-43.54,-49.85,6.31,2,0.004014,0.001725
160.0,0.006260,-44.07,-49.85,5.78,1,0.001034,0.005241
170.0,0.005563,-45.09,-49.85,4.76,1,0.002079,0.003342
180.0,0.005420,-45.32,-49.85,4.53,1,0.004860,0.001502
190.0,0.005245,-45.61,-49.85,4.25,1,0.003034,0.003766
200.0,0.005391,-45.37,-48.10,2.73,1,0.001732,0.005465
210.0,0.004914,-46.17,-48.10,1.93,1,0.002652,0.002722
220.0,0.004785,-46.40,-48.10,1.70,1,0.002430,0.003769
230.0,0.005307,-45.50,-48.10,2.60,1,0.001511,0.006349
240.0,0.004676,-46.60,-48.10,1.50,1,0.001989,0.002511
250.0,0.004505,-46.93,-48.10,1.17,1,0.003629,0.001919
260.0,0.004173,-47.59,-48.10,0.51,1,0.001910,0.002811
270.0,0.004015,-47.93,-48.10,0.17,1,0.002715,0.002433
280.0,0.004238,-47.46,-48.10,0.64,1,0.004583,0.001282
290.0,0.004238,-47.46,-48.10,0.64,1,0.001690,0.003887
300.0,0.003977,-48.01,-49.45,1.44,1,0.002006,0.002707
310.0,0.004438,-47.06,-49.45,2.39,1,0.004065,0.003723
320.0,0.003911,-48.15,-49.45,1.30,1,0.002332,0.001325
330.0,0.004620,-46.71,-49.45,2.74,1,0.000449,0.006258
340.0,0.005002,-46.02,-49.45,3.43,1,0.003798,0.004505
350.0,0.004821,-46.34,-49.45,3.11,1,0.004126,0.001527
360.0,0.005148,-45.77,-49.45,3.68,1,0.002690,0.005264
370.0,0.006308,-44.00,-49.45,5.45,1,0.003142,0.008447
380.0,0.006992,-43.11,-49.45,6.34,2,0.008128,0.002781
390.0,0.007422,-42.59,-49.45,6.86,2,0.006911,0.004817
400.0,0.007403,-42.61,-49.45,6.84,2,0.001568,0.007190
410.0,0.007586,-42.40,-49.45,7.05,2,0.006276,0.004984
420.0,0.007733,-42.23,-49.45,7.22,2,0.008072,0.000247
430.0,0.007880,-42.07,-49.45,7.38,2,0.001460,0.008091
440.0,0.008330,-41.59,-49.45,7.86,2,0.003465,0.008718
450.0,0.007997,-41.94,-49.45,7.51,2,0.006981,0.001834
460.0,0.007979,-41.96,-49.45,7.49,2,0.006548,0.004488
470.0,0.008321,-41.60,-49.45,7.85,2,0.002493,0.008772
480.0,0.008665,-41.25,-49.45,8.20,2,0.007722,0.005474
490.0,0.008137,-41.79,-49.45,7.66,2,0.006312,0.002801
500.0,0.007659,-42.32,-49.37,7.06,2,0.001389,0.006394
510.0,0.007108,-42.96,-49.37,6.41,2,0.002812,0.005100
520.0,0.007274,-42.76,-49.37,6.61,2,0.007517,0.001475
530.0,0.007537,-42.46,-49.37,6.92,2,0.004994,0.006443
540.0,0.007093,-42.98,-49.37,6.39,2,0.002018,0.005709
550.0,0.006604,-43.60,-49.37,5.77,1,0.005380,0.000960
560.0,0.005906,-44.57,-49.37,4.80,1,0.003856,0.001846
570.0,0.006536,-43.69,-49.37,5.68,1,0.001885,0.007783
580.0,0.006647,-43.55,-49.37,5.83,1,0.004856,0.004912
590.0,0.007164,-42.90,-49.37,6.48,2,0.007987,0.002503
600.0,0.006814,-43.33,-48.76,5.43,1,0.003472,0.004891
610.0,0.006552,-43.67,-48.76,5.09,1,0.004058,0.004337
620.0,0.006621,-43.58,-48.76,5.18,1,0.006418,0.002194
630.0,0.006497,-43.75,-48.76,5.02,1,0.004770,0.003970
640.0,0.006247,-44.09,-48.76,4.68,1,0.001465,0.005472
650.0,0.005908,-44.57,-48.76,4.19,1,0.004417,0.002585
660.0,0.005829,-44.69,-48.76,4.08,1,0.005412,0.001603
670.0,0.006081,-44.32,-48.76,4.44,1,0.002178,0.006303
680.0,0.006037,-44.38,-48.76,4.38,1,0.002335,0.005455
690.0,0.006230,-44.11,-48.76,4.65,1,0.006078,0.002771
700.0,0.006316,-43.99,-48.40,4.41,1,0.004030,0.005123
710.0,0.006185,-44.17,-48.40,4.23,1,0.000168,0.005876
720.0,0.006693,-43.49,-48.40,4.92,1,0.007205,0.003192
730.0,0.006196,-44.16,-48.40,4.25,1,0.004316,0.002594
740.0,0.006205,-44.14,-48.40,4.26,1,0.001847,0.005947
750.0,0.005779,-44.76,-48.40,3.64,1,0.003076,0.003665
760.0,0.005943,-44.52,-48.40,3.88,1,0.005672,0.002800
770.0,0.005281,-45.55,-48.40,2.86,1,0.003449,0.001434
780.0,0.005614,-45.02,-48.40,3.39,1,0.003015,0.005634
790.0,0.005700,-44.88,-48.40,3.52,1,0.005500,0.002136
800.0,0.005182,-45.71,-48.40,2.69,1,0.002893,0.002723
810.0,0.005254,-45.59,-48.40,2.81,1,0.003951,0.003717
820.0,0.004594,-46.76,-48.40,1.65,1,0.002290,0.002019
830.0,0.004476,-46.98,-48.40,1.42,1,0.003551,0.002244
