# Phoenix SDR WWV Tone Tracker (0 Hz) v1.2.0+40.0a7f527-dirty
# Started: 2025-12-17 16:56:52
# FFT: 4096-pt, 2.93 Hz/bin, 341.3 ms frame
time,timestamp_ms,measured_hz,offset_hz,offset_ppm,snr_db,valid
16:56:52,0.0,14.656,14.656,146.56,42.3,YES
16:56:53,341.3,14.615,14.615,146.15,40.4,YES
16:56:53,682.7,14.686,14.686,146.86,41.7,YES
16:56:53,1024.0,14.667,14.667,146.67,45.9,YES
16:56:54,1365.3,14.668,14.668,146.68,45.7,YES
16:56:54,1706.7,14.690,14.690,146.90,47.9,YES
16:56:54,2048.0,14.759,14.759,147.59,45.1,YES
16:56:55,2389.3,14.672,14.672,146.72,43.6,YES
16:56:55,2730.7,14.462,14.462,144.62,40.2,YES
16:56:55,3072.0,14.650,14.650,146.50,42.5,YES
16:56:56,3413.3,14.698,14.698,146.98,46.1,YES
16:56:56,3754.7,14.720,14.720,147.20,43.9,YES
16:56:56,4096.0,14.644,14.644,146.44,45.8,YES
16:56:57,4437.3,14.582,14.582,145.82,43.2,YES
16:56:57,4778.7,14.530,14.530,145.30,45.9,YES
16:56:58,5120.0,14.671,14.671,146.71,45.8,YES
16:56:58,5461.3,14.698,14.698,146.98,45.6,YES
16:56:58,5802.7,14.656,14.656,146.56,46.8,YES
16:56:59,6144.0,14.665,14.665,146.65,46.0,YES
16:56:59,6485.3,14.626,14.626,146.26,46.1,YES
16:56:59,6826.7,14.531,14.531,145.31,39.5,YES
16:57:00,7168.0,14.534,14.534,145.34,40.3,YES
16:57:00,7509.3,14.579,14.579,145.79,40.4,YES
16:57:00,7850.7,14.732,14.732,147.32,41.9,YES
16:57:01,8192.0,14.669,14.669,146.69,44.9,YES
16:57:01,8533.3,14.679,14.679,146.79,49.0,YES
16:57:01,8874.7,14.689,14.689,146.89,48.3,YES
16:57:02,9216.0,14.672,14.672,146.72,46.2,YES
16:57:02,9557.3,14.541,14.541,145.41,44.7,YES
16:57:02,9898.7,14.428,14.428,144.28,43.8,YES
16:57:04,10240.0,14.622,14.622,146.22,46.1,YES
16:57:04,10581.3,14.748,14.748,147.48,48.1,YES
16:57:04,10922.7,14.653,14.653,146.53,44.8,YES
16:57:04,11264.0,14.620,14.620,146.20,44.8,YES
16:57:04,11605.3,14.625,14.625,146.25,45.9,YES
16:57:05,11946.7,14.504,14.504,145.04,45.4,YES
16:57:05,12288.0,14.603,14.603,146.03,45.2,YES
16:57:05,12629.3,14.690,14.690,146.90,46.8,YES
16:57:06,12970.7,14.662,14.662,146.62,48.1,YES
16:57:06,13312.0,14.674,14.674,146.74,47.7,YES
16:57:06,13653.3,14.596,14.596,145.96,48.1,YES
16:57:07,13994.7,14.623,14.623,146.23,46.7,YES
16:57:07,14336.0,14.607,14.607,146.07,48.4,YES
16:57:08,14677.3,14.656,14.656,146.56,48.3,YES
16:57:08,15018.7,14.552,14.552,145.52,47.5,YES
16:57:08,15360.0,14.616,14.616,146.16,46.6,YES
16:57:09,15701.3,14.629,14.629,146.29,47.1,YES
16:57:09,16042.7,14.646,14.646,146.46,47.8,YES
16:57:09,16384.0,14.631,14.631,146.31,49.2,YES
