# Phoenix SDR WWV Channel Log v1.2.0+40.0a7f527-dirty
time,timestamp_ms,carrier_db,snr_db,sub500_db,sub600_db,tone1000_db,noise_db,quality
16:56:52,0.0,-80.1,10.5,-84.2,-80.4,-72.5,-82.9,FAIR
16:56:53,1024.0,-84.9,44.0,-79.8,-76.8,-64.1,-108.1,GOOD
16:56:54,2048.0,-91.3,51.4,-82.7,-78.6,-71.8,-123.2,GOOD
16:56:55,3072.0,-84.1,60.4,-72.8,-77.4,-69.6,-130.1,GOOD
16:56:56,4096.0,-91.0,62.6,-84.0,-76.8,-72.2,-134.8,GOOD
16:56:57,5120.0,-83.7,67.1,-80.5,-78.3,-69.1,-136.2,GOOD
16:56:58,6144.0,-89.6,80.6,-80.2,-75.9,-57.3,-137.8,GOOD
16:57:00,7168.0,-84.1,69.4,-79.7,-78.0,-70.2,-139.6,GOOD
16:57:01,8192.0,-89.3,69.2,-81.5,-79.2,-71.2,-140.4,GOOD
16:57:02,9216.0,-84.2,71.4,-82.8,-78.2,-70.5,-141.8,GOOD
16:57:04,10240.0,-77.6,93.7,-74.2,-74.2,-48.9,-142.6,GOOD
16:57:04,11264.0,-84.5,71.1,-81.7,-61.8,-71.8,-142.9,GOOD
16:57:05,12288.0,-92.8,73.0,-78.3,-61.2,-71.9,-144.9,GOOD
16:57:06,13312.0,-82.9,72.1,-77.3,-60.5,-72.9,-145.0,GOOD
16:57:07,14336.0,-90.7,75.1,-81.5,-61.3,-71.1,-146.2,GOOD
16:57:08,15360.0,-82.3,90.0,-74.3,-60.2,-56.4,-146.4,GOOD
16:57:10,16384.0,-89.8,82.7,-73.6,-59.0,-63.5,-146.2,GOOD
16:57:11,17408.0,-83.5,76.0,-74.5,-57.7,-70.6,-146.5,GOOD
16:57:12,18432.0,-87.4,75.6,-72.4,-58.0,-70.9,-146.6,GOOD
16:57:13,19456.0,-83.5,75.0,-74.1,-59.9,-71.7,-146.7,GOOD
16:57:14,20480.0,-86.3,75.0,-76.3,-59.1,-71.5,-146.6,GOOD
16:57:15,21504.0,-83.1,74.9,-72.2,-59.5,-71.4,-146.3,GOOD
16:57:16,22528.0,-89.0,75.4,-78.2,-59.0,-71.2,-146.5,GOOD
16:57:17,23552.0,-82.2,75.2,-81.7,-58.8,-71.4,-146.5,GOOD
16:57:18,24576.0,-85.4,76.6,-72.5,-58.7,-70.0,-146.6,GOOD
16:57:19,25600.0,-84.8,74.6,-78.4,-58.3,-72.1,-146.8,GOOD
16:57:20,26624.0,-83.5,75.5,-81.6,-58.6,-71.0,-146.6,GOOD
16:57:21,27648.0,-82.8,77.0,-78.4,-58.6,-69.6,-146.5,GOOD
16:57:22,28672.0,-82.1,76.8,-71.9,-59.6,-70.0,-146.8,GOOD
16:57:23,29696.0,-84.1,76.6,-78.7,-59.2,-70.4,-147.0,GOOD
16:57:24,30720.0,-82.9,76.3,-75.8,-59.4,-71.1,-147.4,GOOD
16:57:25,31744.0,-61.6,88.0,-68.4,-47.4,-59.1,-147.1,GOOD
16:57:26,32768.0,-62.8,87.4,-66.9,-42.2,-59.2,-146.6,GOOD
16:57:27,33792.0,-58.1,97.0,-63.6,-48.0,-49.1,-146.1,GOOD
16:57:29,34816.0,-63.9,91.1,-60.9,-49.3,-54.6,-145.7,GOOD
16:57:30,35840.0,-61.6,85.0,-60.7,-49.4,-60.3,-145.3,GOOD
16:57:31,36864.0,-56.5,87.5,-55.3,-40.3,-57.5,-145.0,GOOD
16:57:32,37888.0,-57.4,90.1,-52.9,-39.7,-54.5,-144.6,GOOD
16:57:33,38912.0,-71.4,86.7,-60.8,-47.2,-57.4,-144.1,GOOD
16:57:34,39936.0,-64.4,83.8,-71.2,-46.3,-59.9,-143.7,GOOD
16:57:35,40960.0,-67.8,84.0,-70.6,-47.7,-59.3,-143.3,GOOD
16:57:36,41984.0,-59.1,81.4,-67.5,-46.3,-62.2,-143.6,GOOD
16:57:37,43008.0,-65.5,82.5,-69.3,-49.1,-60.7,-143.3,GOOD
16:57:38,44032.0,-57.8,84.5,-69.4,-44.6,-58.7,-143.2,GOOD
16:57:39,45056.0,-64.3,83.0,-69.3,-45.2,-59.8,-142.8,GOOD
16:57:40,46080.0,-64.4,81.8,-70.4,-54.3,-60.7,-142.5,GOOD
16:57:41,47104.0,-61.5,81.5,-68.2,-48.5,-61.1,-142.6,GOOD
16:57:42,48128.0,-67.4,83.7,-61.7,-49.4,-58.8,-142.5,GOOD
16:57:43,49152.0,-68.4,83.2,-68.1,-45.2,-59.0,-142.2,GOOD
16:57:44,50176.0,-66.2,80.1,-69.2,-45.7,-61.8,-141.9,GOOD
16:57:45,51200.0,-60.0,82.0,-70.4,-50.2,-59.5,-141.6,GOOD
16:57:46,52224.0,-59.0,96.3,-65.9,-47.2,-45.1,-141.4,GOOD
16:57:47,53248.0,-57.1,98.6,-65.3,-61.7,-42.5,-141.1,GOOD
16:57:49,54272.0,-69.6,82.0,-69.5,-68.0,-58.8,-140.8,GOOD
16:57:50,55296.0,-61.4,80.1,-67.8,-67.1,-60.8,-141.0,GOOD
16:57:51,56320.0,-59.8,78.9,-70.4,-70.3,-61.8,-140.7,GOOD
16:57:52,57344.0,-61.9,80.7,-68.1,-70.1,-60.0,-140.6,GOOD
16:57:53,58368.0,-68.5,81.2,-71.3,-69.3,-59.1,-140.3,GOOD
16:57:54,59392.0,-65.8,81.4,-70.8,-71.3,-58.7,-140.0,GOOD
16:57:55,60416.0,-57.6,80.1,-69.3,-69.6,-59.7,-139.8,GOOD
16:57:56,61440.0,-65.7,78.4,-67.1,-67.4,-61.1,-139.5,GOOD
16:57:57,62464.0,-57.5,79.7,-69.5,-68.2,-59.5,-139.2,GOOD
16:57:58,63488.0,-58.7,83.7,-65.0,-61.4,-55.1,-138.9,GOOD
16:57:59,64512.0,-67.0,80.0,-68.8,-63.4,-59.0,-139.0,GOOD
16:58:00,65536.0,-65.3,77.9,-70.7,-70.3,-60.8,-138.7,GOOD
16:58:01,66560.0,-65.6,78.8,-70.9,-70.1,-59.6,-138.5,GOOD
16:58:02,67584.0,-55.0,79.1,-70.9,-69.6,-59.4,-138.5,GOOD
16:58:03,68608.0,-61.0,79.2,-67.9,-68.1,-59.0,-138.2,GOOD
16:58:04,69632.0,-58.1,80.5,-47.1,-71.2,-57.7,-138.2,GOOD
16:58:05,70656.0,-60.9,94.0,-46.2,-62.2,-44.1,-138.2,GOOD
16:58:07,71680.0,-60.7,88.5,-51.6,-64.6,-49.5,-138.0,GOOD
16:58:08,72704.0,-61.0,84.8,-42.8,-55.9,-53.0,-137.8,GOOD
16:58:09,73728.0,-57.9,85.0,-39.9,-54.0,-52.7,-137.8,GOOD
16:58:10,74752.0,-56.4,83.2,-43.1,-57.1,-54.3,-137.5,GOOD
16:58:11,75776.0,-71.8,82.1,-43.5,-70.7,-56.0,-138.0,GOOD
16:58:12,76800.0,-56.4,79.8,-44.7,-59.2,-58.0,-137.8,GOOD
16:58:13,77824.0,-59.8,81.9,-43.2,-69.4,-55.9,-137.8,GOOD
16:58:14,78848.0,-62.6,78.1,-49.9,-69.1,-59.5,-137.6,GOOD
16:58:15,79872.0,-69.8,78.9,-48.9,-70.9,-58.4,-137.4,GOOD
16:58:16,80896.0,-65.5,76.3,-52.7,-67.4,-60.9,-137.2,GOOD
16:58:17,81920.0,-64.1,81.3,-53.0,-71.7,-56.3,-137.6,GOOD
16:58:18,82944.0,-65.0,78.8,-51.6,-70.0,-58.7,-137.5,GOOD
16:58:19,83968.0,-72.0,79.2,-56.3,-69.7,-58.0,-137.3,GOOD
16:58:20,84992.0,-66.9,77.7,-48.8,-70.6,-59.3,-137.0,GOOD
16:58:21,86016.0,-70.2,78.9,-52.3,-69.2,-58.6,-137.5,GOOD
16:58:22,87040.0,-64.1,78.5,-57.0,-70.6,-58.7,-137.2,GOOD
16:58:23,88064.0,-70.1,75.5,-54.1,-68.8,-61.7,-137.1,GOOD
16:58:24,89088.0,-72.0,91.3,-49.2,-66.8,-45.6,-136.9,GOOD
16:58:25,90112.0,-58.9,86.0,-44.6,-59.1,-50.7,-136.7,GOOD
16:58:27,91136.0,-59.4,79.7,-45.5,-59.7,-56.8,-136.5,GOOD
16:58:28,92160.0,-67.2,80.8,-45.6,-57.9,-55.7,-136.5,GOOD
16:58:29,93184.0,-61.6,77.0,-45.3,-60.1,-59.6,-136.6,GOOD
16:58:30,94208.0,-59.9,78.5,-44.4,-69.0,-58.0,-136.4,GOOD
16:58:31,95232.0,-60.6,78.9,-51.4,-68.8,-57.3,-136.2,GOOD
16:58:32,96256.0,-68.5,79.9,-49.4,-61.1,-56.9,-136.8,GOOD
16:58:33,97280.0,-68.9,79.0,-51.0,-64.0,-57.6,-136.6,GOOD
16:58:34,98304.0,-61.7,75.5,-49.7,-69.4,-60.9,-136.4,GOOD
16:58:35,99328.0,-60.3,78.6,-49.9,-67.9,-57.6,-136.2,GOOD
16:58:36,100352.0,-68.1,79.1,-52.8,-68.2,-56.9,-136.0,GOOD
16:58:37,101376.0,-72.1,78.8,-51.2,-68.1,-57.3,-136.1,GOOD
16:58:38,102400.0,-58.6,80.8,-44.6,-66.9,-56.5,-137.3,GOOD
16:58:39,103424.0,-78.8,80.0,-54.0,-69.0,-57.2,-137.2,GOOD
16:58:40,104448.0,-63.3,79.3,-47.9,-68.6,-58.3,-137.6,GOOD
16:58:41,105472.0,-65.9,78.5,-53.4,-68.9,-59.4,-138.0,GOOD
16:58:42,106496.0,-61.5,80.7,-49.8,-70.5,-57.1,-137.7,GOOD
16:58:43,107520.0,-64.4,91.1,-47.9,-67.9,-46.8,-137.9,GOOD
16:58:45,108544.0,-61.8,84.4,-50.5,-61.9,-53.4,-137.8,GOOD
16:58:46,109568.0,-58.8,85.3,-41.8,-52.9,-52.5,-137.7,GOOD
16:58:47,110592.0,-62.0,84.0,-45.2,-59.9,-53.5,-137.5,GOOD
16:58:48,111616.0,-69.6,77.8,-69.0,-69.3,-59.7,-137.6,GOOD
16:58:49,112640.0,-64.3,76.9,-71.7,-67.5,-60.6,-137.4,GOOD
16:58:50,113664.0,-68.9,78.1,-69.0,-71.5,-59.3,-137.4,GOOD
16:58:51,114688.0,-59.4,78.3,-64.7,-71.0,-58.8,-137.1,GOOD
16:58:52,115712.0,-59.5,76.7,-71.0,-67.2,-60.4,-137.1,GOOD
16:58:53,116736.0,-68.9,76.1,-70.0,-70.1,-60.9,-137.0,GOOD
16:58:54,117760.0,-61.0,81.1,-69.1,-70.2,-55.7,-136.8,GOOD
16:58:55,118784.0,-63.7,78.9,-67.7,-66.5,-57.8,-136.7,GOOD
16:58:56,119808.0,-63.2,81.6,-66.4,-64.1,-55.8,-137.4,GOOD
16:58:57,120832.0,-72.1,78.3,-72.0,-71.5,-59.6,-137.9,GOOD
16:58:58,121856.0,-66.4,78.8,-64.4,-65.5,-58.8,-137.6,GOOD
16:58:59,122880.0,-68.0,76.9,-69.4,-69.0,-60.8,-137.7,GOOD
16:59:00,123904.0,-71.9,86.4,-64.1,-66.6,-51.1,-137.6,GOOD
16:59:01,124928.0,-60.0,76.5,-70.5,-68.6,-60.8,-137.3,GOOD
16:59:02,125952.0,-68.3,89.9,-70.1,-71.1,-47.8,-137.7,GOOD
16:59:03,126976.0,-72.8,82.9,-69.0,-68.6,-54.7,-137.7,GOOD
16:59:05,128000.0,-83.6,77.6,-69.4,-71.8,-60.0,-137.6,GOOD
16:59:06,129024.0,-60.5,80.0,-71.2,-71.0,-57.6,-137.6,GOOD
16:59:07,130048.0,-63.3,79.4,-67.6,-65.2,-58.3,-137.6,GOOD
16:59:08,131072.0,-63.6,77.2,-69.9,-69.0,-60.4,-137.6,GOOD
16:59:09,132096.0,-71.7,74.3,-71.8,-71.0,-63.1,-137.5,GOOD
