# Phoenix SDR WWV Subcarrier Log v1.2.0+40.0a7f527-dirty
# Started: 2025-12-17 16:56:52
time,timestamp_ms,minute,expected,sub500_db,sub600_db,delta_db,detected,match
16:56:52,0.0,56,500Hz,-84.2,-80.4,-3.8,600Hz,NO
16:56:53,1024.0,56,500Hz,-79.8,-76.8,-2.9,NONE,NO
16:56:54,2048.0,56,500Hz,-82.7,-78.6,-4.1,600Hz,NO
16:56:55,3072.0,56,500Hz,-72.8,-77.4,4.7,500Hz,YES
16:56:56,4096.0,56,500Hz,-84.0,-76.8,-7.2,600Hz,NO
16:56:57,5120.0,56,500Hz,-80.5,-78.3,-2.2,NONE,NO
16:56:58,6144.0,56,500Hz,-80.2,-75.9,-4.3,600Hz,NO
16:57:00,7168.0,57,600Hz,-79.7,-78.0,-1.7,NONE,NO
16:57:01,8192.0,57,600Hz,-81.5,-79.2,-2.3,NONE,NO
16:57:02,9216.0,57,600Hz,-82.8,-78.2,-4.6,600Hz,YES
16:57:04,10240.0,57,600Hz,-74.2,-74.2,0.0,NONE,NO
16:57:04,11264.0,57,600Hz,-81.7,-61.8,-19.9,600Hz,YES
16:57:05,12288.0,57,600Hz,-78.3,-61.2,-17.2,600Hz,YES
16:57:06,13312.0,57,600Hz,-77.3,-60.5,-16.8,600Hz,YES
16:57:07,14336.0,57,600Hz,-81.5,-61.3,-20.1,600Hz,YES
16:57:08,15360.0,57,600Hz,-74.3,-60.2,-14.1,600Hz,YES
16:57:10,16384.0,57,600Hz,-73.6,-59.0,-14.6,600Hz,YES
16:57:11,17408.0,57,600Hz,-74.5,-57.7,-16.8,600Hz,YES
16:57:12,18432.0,57,600Hz,-72.4,-58.0,-14.4,600Hz,YES
16:57:13,19456.0,57,600Hz,-74.1,-59.9,-14.3,600Hz,YES
16:57:14,20480.0,57,600Hz,-76.3,-59.1,-17.2,600Hz,YES
16:57:15,21504.0,57,600Hz,-72.2,-59.5,-12.7,600Hz,YES
16:57:16,22528.0,57,600Hz,-78.2,-59.0,-19.2,600Hz,YES
16:57:17,23552.0,57,600Hz,-81.7,-58.8,-22.9,600Hz,YES
16:57:18,24576.0,57,600Hz,-72.5,-58.7,-13.8,600Hz,YES
16:57:19,25600.0,57,600Hz,-78.4,-58.3,-20.0,600Hz,YES
16:57:20,26624.0,57,600Hz,-81.6,-58.6,-23.0,600Hz,YES
16:57:21,27648.0,57,600Hz,-78.4,-58.6,-19.8,600Hz,YES
16:57:22,28672.0,57,600Hz,-71.9,-59.6,-12.3,600Hz,YES
16:57:23,29696.0,57,600Hz,-78.7,-59.2,-19.5,600Hz,YES
16:57:24,30720.0,57,600Hz,-75.8,-59.4,-16.5,600Hz,YES
16:57:25,31744.0,57,600Hz,-68.4,-47.4,-21.1,600Hz,YES
16:57:26,32768.0,57,600Hz,-66.9,-42.2,-24.7,600Hz,YES
16:57:27,33792.0,57,600Hz,-63.6,-48.0,-15.6,600Hz,YES
16:57:29,34816.0,57,600Hz,-60.9,-49.3,-11.6,600Hz,YES
16:57:30,35840.0,57,600Hz,-60.7,-49.4,-11.3,600Hz,YES
16:57:31,36864.0,57,600Hz,-55.3,-40.3,-15.1,600Hz,YES
16:57:32,37888.0,57,600Hz,-52.9,-39.7,-13.2,600Hz,YES
16:57:33,38912.0,57,600Hz,-60.8,-47.2,-13.6,600Hz,YES
16:57:34,39936.0,57,600Hz,-71.2,-46.3,-24.9,600Hz,YES
16:57:35,40960.0,57,600Hz,-70.6,-47.7,-22.9,600Hz,YES
16:57:36,41984.0,57,600Hz,-67.5,-46.3,-21.2,600Hz,YES
16:57:37,43008.0,57,600Hz,-69.3,-49.1,-20.2,600Hz,YES
16:57:38,44032.0,57,600Hz,-69.4,-44.6,-24.7,600Hz,YES
16:57:39,45056.0,57,600Hz,-69.3,-45.2,-24.0,600Hz,YES
16:57:40,46080.0,57,600Hz,-70.4,-54.3,-16.0,600Hz,YES
16:57:41,47104.0,57,600Hz,-68.2,-48.5,-19.7,600Hz,YES
16:57:42,48128.0,57,600Hz,-61.7,-49.4,-12.4,600Hz,YES
16:57:43,49152.0,57,600Hz,-68.1,-45.2,-22.8,600Hz,YES
16:57:44,50176.0,57,600Hz,-69.2,-45.7,-23.4,600Hz,YES
16:57:45,51200.0,57,600Hz,-70.4,-50.2,-20.2,600Hz,YES
16:57:46,52224.0,57,600Hz,-65.9,-47.2,-18.7,600Hz,YES
16:57:47,53248.0,57,600Hz,-65.3,-61.7,-3.7,600Hz,YES
16:57:49,54272.0,57,600Hz,-69.5,-68.0,-1.4,NONE,NO
16:57:50,55296.0,57,600Hz,-67.8,-67.1,-0.7,NONE,NO
16:57:51,56320.0,57,600Hz,-70.4,-70.3,-0.2,NONE,NO
16:57:52,57344.0,57,600Hz,-68.1,-70.1,1.9,NONE,NO
16:57:53,58368.0,57,600Hz,-71.3,-69.3,-2.0,NONE,NO
16:57:54,59392.0,57,600Hz,-70.8,-71.3,0.6,NONE,NO
16:57:55,60416.0,57,600Hz,-69.3,-69.6,0.3,NONE,NO
16:57:56,61440.0,57,600Hz,-67.1,-67.4,0.3,NONE,NO
16:57:57,62464.0,57,600Hz,-69.5,-68.2,-1.2,NONE,NO
16:57:58,63488.0,57,600Hz,-65.0,-61.4,-3.6,600Hz,YES
16:57:59,64512.0,57,600Hz,-68.8,-63.4,-5.4,600Hz,YES
16:58:00,65536.0,58,500Hz,-70.7,-70.3,-0.4,NONE,NO
16:58:01,66560.0,58,500Hz,-70.9,-70.1,-0.8,NONE,NO
16:58:02,67584.0,58,500Hz,-70.9,-69.6,-1.3,NONE,NO
16:58:03,68608.0,58,500Hz,-67.9,-68.1,0.2,NONE,NO
16:58:04,69632.0,58,500Hz,-47.1,-71.2,24.1,500Hz,YES
16:58:05,70656.0,58,500Hz,-46.2,-62.2,16.0,500Hz,YES
16:58:07,71680.0,58,500Hz,-51.6,-64.6,13.1,500Hz,YES
16:58:08,72704.0,58,500Hz,-42.8,-55.9,13.1,500Hz,YES
16:58:09,73728.0,58,500Hz,-39.9,-54.0,14.1,500Hz,YES
16:58:10,74752.0,58,500Hz,-43.1,-57.1,14.0,500Hz,YES
16:58:11,75776.0,58,500Hz,-43.5,-70.7,27.2,500Hz,YES
16:58:12,76800.0,58,500Hz,-44.7,-59.2,14.4,500Hz,YES
16:58:13,77824.0,58,500Hz,-43.2,-69.4,26.2,500Hz,YES
16:58:14,78848.0,58,500Hz,-49.9,-69.1,19.3,500Hz,YES
16:58:15,79872.0,58,500Hz,-48.9,-70.9,22.0,500Hz,YES
16:58:16,80896.0,58,500Hz,-52.7,-67.4,14.7,500Hz,YES
16:58:17,81920.0,58,500Hz,-53.0,-71.7,18.7,500Hz,YES
16:58:18,82944.0,58,500Hz,-51.6,-70.0,18.5,500Hz,YES
16:58:19,83968.0,58,500Hz,-56.3,-69.7,13.4,500Hz,YES
16:58:20,84992.0,58,500Hz,-48.8,-70.6,21.8,500Hz,YES
16:58:21,86016.0,58,500Hz,-52.3,-69.2,16.9,500Hz,YES
16:58:22,87040.0,58,500Hz,-57.0,-70.6,13.6,500Hz,YES
16:58:23,88064.0,58,500Hz,-54.1,-68.8,14.7,500Hz,YES
16:58:24,89088.0,58,500Hz,-49.2,-66.8,17.6,500Hz,YES
16:58:25,90112.0,58,500Hz,-44.6,-59.1,14.5,500Hz,YES
16:58:27,91136.0,58,500Hz,-45.5,-59.7,14.2,500Hz,YES
16:58:28,92160.0,58,500Hz,-45.6,-57.9,12.3,500Hz,YES
16:58:29,93184.0,58,500Hz,-45.3,-60.1,14.7,500Hz,YES
16:58:30,94208.0,58,500Hz,-44.4,-69.0,24.6,500Hz,YES
16:58:31,95232.0,58,500Hz,-51.4,-68.8,17.4,500Hz,YES
16:58:32,96256.0,58,500Hz,-49.4,-61.1,11.7,500Hz,YES
16:58:33,97280.0,58,500Hz,-51.0,-64.0,13.0,500Hz,YES
16:58:34,98304.0,58,500Hz,-49.7,-69.4,19.6,500Hz,YES
16:58:35,99328.0,58,500Hz,-49.9,-67.9,18.0,500Hz,YES
16:58:36,100352.0,58,500Hz,-52.8,-68.2,15.4,500Hz,YES
