# Phoenix SDR WWV Tick Correlation Database v1.2.0+40.0a7f527-dirty
# Started: 2025-12-17 16:56:52
# Correlation window: 900-1050 ms
time,timestamp_ms,tick_num,expected,energy_peak,duration_ms,interval_ms,avg_interval_ms,noise_floor,corr_peak,corr_ratio,chain_id,chain_pos,chain_start_ms,drift_ms
16:56:54,2329.6,1,TICK,0.001193,10.2,0,0,0.000488,0.07,11.3,1,1,2329.6,0.0
16:56:55,3328.0,2,TICK,0.001470,10.2,998,0,0.000437,0.08,13.5,1,2,2329.6,-1.6
16:56:56,4326.4,3,TICK,0.001420,10.2,998,998,0.000391,0.13,31.8,1,3,2329.6,-3.2
16:56:57,5329.9,4,TICK,0.001470,10.2,1004,998,0.000352,0.07,13.2,1,4,2329.6,0.3
16:56:58,6328.3,5,TICK,0.001629,10.2,998,1000,0.000320,0.12,22.9,1,5,2329.6,-1.3
16:56:59,7326.7,6,TICK,0.001747,10.2,998,1000,0.000295,0.12,29.2,1,6,2329.6,-2.9
16:57:06,12958.7,7,TICK,0.000552,10.2,5632,999,0.000224,0.01,7.6,2,1,12958.7,0.0
16:57:06,13491.2,8,TICK,0.000456,10.2,532,1772,0.000224,0.02,10.0,3,1,13491.2,0.0
16:57:07,14008.3,9,TICK,0.000497,10.2,517,1595,0.000224,0.01,6.7,4,1,14008.3,0.0
16:57:07,14801.9,10,TICK,0.000556,20.5,783,1460,0.000225,0.02,5.6,5,1,14801.9,0.0
16:57:08,15354.9,11,TICK,0.000480,15.4,558,1386,0.000225,0.02,9.2,6,1,15354.9,0.0
16:57:08,15907.8,12,TICK,0.000479,41.0,527,1303,0.000225,0.02,11.0,7,1,15907.8,0.0
16:57:09,16455.7,13,TICK,0.000486,41.0,548,1234,0.000225,0.02,10.5,8,1,16455.7,0.0
16:57:10,16967.7,14,TICK,0.000510,10.2,543,1177,0.000225,0.01,9.3,9,1,16967.7,0.0
16:57:12,19358.7,15,TICK,0.000625,25.6,2376,1164,0.000226,0.01,9.9,10,1,19358.7,0.0
16:57:13,20490.2,16,TICK,0.000469,15.4,1142,1303,0.000226,0.02,8.5,11,1,20490.2,0.0
16:57:14,21017.6,17,TICK,0.000563,20.5,522,1287,0.000226,0.02,10.5,12,1,21017.6,0.0
16:57:14,21575.7,18,TICK,0.000488,41.0,538,1245,0.000226,0.01,10.0,13,1,21575.7,0.0
16:57:15,22097.9,19,TICK,0.000514,20.5,543,1187,0.000226,0.01,9.2,14,1,22097.9,0.0
16:57:18,24949.8,20,TICK,0.000573,30.7,2842,762,0.000227,0.02,11.0,15,1,24949.8,0.0
16:57:21,28830.7,21,TICK,0.000497,10.2,3901,995,0.000227,0.02,15.1,16,1,28830.7,0.0
16:57:22,29378.6,22,TICK,0.000560,41.0,517,1275,0.000227,0.02,16.1,17,1,29378.6,0.0
16:57:48,55511.0,23,TICK,0.000672,20.5,26153,0,0.000227,0.05,15.8,18,1,55511.0,0.0
16:57:49,56739.8,24,TICK,0.000466,10.2,1239,0,0.000227,0.03,7.5,19,1,56739.8,0.0
16:57:52,59315.2,25,TICK,0.000870,35.8,2550,1229,0.000227,0.06,19.9,20,1,59315.2,0.0
16:58:01,68444.2,26,TICK,0.000626,15.4,9149,1902,0.000227,0.04,9.6,21,1,68444.2,0.0
16:58:50,117258.2,27,TICK,0.000838,35.8,48794,0,0.000227,0.07,15.2,22,1,117258.2,0.0
16:58:50,117780.5,28,TICK,0.000735,20.5,538,0,0.000227,0.05,11.2,23,1,117780.5,0.0
16:58:51,118292.5,29,TICK,0.000481,10.2,522,522,0.000227,0.05,11.5,24,1,118292.5,0.0
16:58:53,120826.9,30,TICK,0.000812,35.8,2509,517,0.000227,0.06,12.9,25,1,120826.9,0.0
16:59:01,128773.1,31,TICK,0.001004,35.8,7946,1190,0.000227,0.06,13.1,26,1,128773.1,0.0
16:59:02,129300.5,32,TICK,0.001017,25.6,538,2879,0.000227,0.06,15.4,27,1,129300.5,0.0
16:59:02,129817.6,33,TICK,0.000540,15.4,527,2408,0.000227,0.03,7.4,28,1,129817.6,0.0
16:59:07,134901.8,34,TICK,0.000574,20.5,5079,2997,0.000227,0.04,10.2,29,1,134901.8,0.0
