# Phoenix SDR WWV Tone Tracker (600 Hz) v1.2.0+40.0a7f527-dirty
# Started: 2025-12-17 16:56:52
# FFT: 4096-pt, 2.93 Hz/bin, 341.3 ms frame
time,timestamp_ms,measured_hz,offset_hz,offset_ppm,snr_db,valid
16:56:52,0.0,596.258,-3.742,-0.06,14.0,YES
16:56:53,341.3,608.302,8.302,0.14,14.8,YES
16:56:53,682.7,596.743,-3.257,-0.05,10.2,YES
16:56:53,1024.0,617.800,17.800,0.30,14.7,YES
16:56:54,1365.3,593.635,-6.365,-0.11,16.4,YES
16:56:54,1706.7,619.208,19.208,0.32,12.3,YES
16:56:54,2048.0,611.528,11.528,0.19,13.4,YES
16:56:55,2389.3,621.327,21.327,0.36,12.8,YES
16:56:55,2730.7,600.000,0.000,0.00,8.5,NO
16:56:55,3072.0,605.183,5.183,0.09,11.9,YES
16:56:56,3413.3,604.220,4.220,0.07,12.1,YES
16:56:56,3754.7,616.017,16.017,0.27,10.9,YES
16:56:56,4096.0,594.417,-5.583,-0.09,14.1,YES
16:56:57,4437.3,606.878,6.878,0.11,14.7,YES
16:56:57,4778.7,606.510,6.510,0.11,14.0,YES
16:56:58,5120.0,604.570,4.570,0.08,15.1,YES
16:56:58,5461.3,620.381,20.381,0.34,13.1,YES
16:56:58,5802.7,600.000,0.000,0.00,9.5,NO
16:56:59,6144.0,595.053,-4.947,-0.08,13.9,YES
16:56:59,6485.3,596.615,-3.385,-0.06,13.8,YES
16:56:59,6826.7,600.000,0.000,0.00,8.7,NO
16:57:00,7168.0,600.000,0.000,0.00,9.2,NO
16:57:00,7509.3,618.479,18.479,0.31,10.2,YES
16:57:00,7850.7,600.000,0.000,0.00,9.9,NO
16:57:01,8192.0,596.457,-3.543,-0.06,15.5,YES
16:57:01,8533.3,613.649,13.649,0.23,16.4,YES
16:57:01,8874.7,610.406,10.406,0.17,15.1,YES
16:57:02,9216.0,608.690,8.690,0.14,14.4,YES
16:57:02,9557.3,612.154,12.154,0.20,16.9,YES
16:57:02,9898.7,623.119,23.119,0.39,16.2,YES
16:57:04,10240.0,601.685,1.685,0.03,16.4,YES
16:57:04,10581.3,601.705,1.705,0.03,16.7,YES
16:57:04,10922.7,597.461,-2.539,-0.04,32.1,YES
16:57:04,11264.0,597.636,-2.364,-0.04,32.3,YES
16:57:04,11605.3,597.485,-2.515,-0.04,33.7,YES
16:57:05,11946.7,597.644,-2.356,-0.04,33.7,YES
16:57:05,12288.0,597.713,-2.287,-0.04,33.8,YES
16:57:05,12629.3,597.702,-2.298,-0.04,34.3,YES
16:57:06,12970.7,597.691,-2.309,-0.04,34.8,YES
16:57:06,13312.0,597.714,-2.286,-0.04,34.7,YES
16:57:06,13653.3,597.876,-2.124,-0.04,35.4,YES
16:57:07,13994.7,597.731,-2.269,-0.04,34.7,YES
16:57:07,14336.0,597.770,-2.230,-0.04,33.5,YES
16:57:08,14677.3,597.831,-2.169,-0.04,32.2,YES
16:57:08,15018.7,597.739,-2.261,-0.04,34.9,YES
16:57:08,15360.0,597.768,-2.232,-0.04,34.4,YES
16:57:09,15701.3,597.747,-2.253,-0.04,31.9,YES
16:57:09,16042.7,597.593,-2.407,-0.04,34.5,YES
16:57:09,16384.0,597.431,-2.569,-0.04,35.6,YES
16:57:10,16725.3,597.507,-2.493,-0.04,30.0,YES
16:57:10,17066.7,597.675,-2.325,-0.04,35.5,YES
16:57:10,17408.0,597.686,-2.314,-0.04,35.4,YES
16:57:11,17749.3,597.647,-2.353,-0.04,32.1,YES
16:57:11,18090.7,597.604,-2.396,-0.04,36.8,YES
16:57:11,18432.0,597.513,-2.487,-0.04,37.2,YES
16:57:12,18773.3,597.601,-2.399,-0.04,32.1,YES
16:57:12,19114.7,597.720,-2.280,-0.04,35.4,YES
16:57:12,19456.0,597.646,-2.354,-0.04,35.6,YES
16:57:13,19797.3,597.604,-2.396,-0.04,30.6,YES
16:57:13,20138.7,597.755,-2.245,-0.04,33.5,YES
16:57:13,20480.0,597.547,-2.453,-0.04,35.3,YES
16:57:14,20821.3,597.542,-2.458,-0.04,34.1,YES
16:57:14,21162.7,597.686,-2.314,-0.04,34.7,YES
16:57:14,21504.0,597.530,-2.470,-0.04,33.9,YES
16:57:15,21845.3,597.554,-2.446,-0.04,32.9,YES
16:57:15,22186.7,597.785,-2.215,-0.04,35.5,YES
16:57:15,22528.0,597.583,-2.417,-0.04,36.8,YES
16:57:16,22869.3,597.676,-2.324,-0.04,34.8,YES
16:57:16,23210.7,597.549,-2.451,-0.04,36.2,YES
16:57:16,23552.0,597.666,-2.334,-0.04,37.6,YES
16:57:17,23893.3,597.682,-2.318,-0.04,35.0,YES
16:57:17,24234.7,597.535,-2.465,-0.04,37.2,YES
16:57:17,24576.0,597.662,-2.338,-0.04,37.1,YES
16:57:18,24917.3,597.575,-2.425,-0.04,35.6,YES
16:57:18,25258.7,597.725,-2.275,-0.04,34.9,YES
16:57:18,25600.0,597.632,-2.368,-0.04,38.6,YES
16:57:19,25941.3,597.606,-2.394,-0.04,35.2,YES
16:57:19,26282.7,597.563,-2.437,-0.04,37.4,YES
16:57:19,26624.0,597.705,-2.295,-0.04,36.2,YES
16:57:20,26965.3,597.590,-2.410,-0.04,33.8,YES
16:57:20,27306.7,597.461,-2.539,-0.04,36.4,YES
16:57:20,27648.0,597.516,-2.484,-0.04,35.2,YES
16:57:21,27989.3,597.725,-2.275,-0.04,33.5,YES
16:57:21,28330.7,597.675,-2.325,-0.04,34.5,YES
16:57:21,28672.0,597.575,-2.425,-0.04,36.4,YES
16:57:22,29013.3,597.617,-2.383,-0.04,36.1,YES
16:57:22,29354.7,597.678,-2.322,-0.04,34.1,YES
16:57:22,29696.0,597.695,-2.305,-0.04,35.5,YES
16:57:23,30037.3,597.600,-2.400,-0.04,34.8,YES
16:57:23,30378.7,597.610,-2.390,-0.04,35.2,YES
16:57:23,30720.0,597.556,-2.444,-0.04,35.4,YES
16:57:24,31061.3,597.643,-2.357,-0.04,36.2,YES
16:57:24,31402.7,597.596,-2.404,-0.04,38.0,YES
16:57:25,31744.0,597.504,-2.496,-0.04,36.4,YES
16:57:25,32085.3,597.041,-2.959,-0.05,29.1,YES
16:57:25,32426.7,597.572,-2.428,-0.04,39.2,YES
16:57:26,32768.0,597.631,-2.369,-0.04,33.8,YES
16:57:26,33109.3,597.730,-2.270,-0.04,39.8,YES
16:57:26,33450.7,597.497,-2.503,-0.04,41.4,YES
16:57:27,33792.0,597.418,-2.582,-0.04,36.9,YES
16:57:27,34133.3,597.627,-2.373,-0.04,42.2,YES
16:57:27,34474.7,597.668,-2.332,-0.04,40.9,YES
16:57:28,34816.0,597.944,-2.056,-0.03,26.9,YES
16:57:28,35157.3,597.842,-2.158,-0.04,34.1,YES
16:57:28,35498.7,598.428,-1.572,-0.03,36.6,YES
16:57:29,35840.0,598.061,-1.939,-0.03,27.3,YES
16:57:29,36181.3,597.663,-2.337,-0.04,36.5,YES
16:57:29,36522.7,597.520,-2.480,-0.04,33.9,YES
16:57:30,36864.0,597.746,-2.254,-0.04,27.5,YES
16:57:30,37205.3,597.457,-2.543,-0.04,34.2,YES
16:57:30,37546.7,597.345,-2.655,-0.04,35.2,YES
16:57:31,37888.0,597.692,-2.308,-0.04,35.4,YES
16:57:31,38229.3,597.543,-2.457,-0.04,42.7,YES
16:57:31,38570.7,597.495,-2.505,-0.04,41.9,YES
16:57:32,38912.0,597.578,-2.422,-0.04,38.2,YES
16:57:32,39253.3,597.684,-2.316,-0.04,39.2,YES
16:57:32,39594.7,597.683,-2.317,-0.04,38.6,YES
16:57:33,39936.0,597.207,-2.793,-0.05,38.0,YES
16:57:33,40277.3,597.457,-2.543,-0.04,35.2,YES
16:57:33,40618.7,597.882,-2.118,-0.04,29.6,YES
16:57:34,40960.0,597.543,-2.457,-0.04,35.1,YES
16:57:34,41301.3,597.613,-2.387,-0.04,39.4,YES
16:57:34,41642.7,597.654,-2.346,-0.04,40.4,YES
16:57:35,41984.0,597.723,-2.277,-0.04,37.8,YES
16:57:35,42325.3,597.591,-2.409,-0.04,38.5,YES
16:57:35,42666.7,597.465,-2.535,-0.04,39.0,YES
16:57:36,43008.0,597.707,-2.293,-0.04,37.0,YES
16:57:36,43349.3,597.819,-2.181,-0.04,38.9,YES
16:57:36,43690.7,597.801,-2.199,-0.04,36.1,YES
16:57:37,44032.0,597.950,-2.050,-0.03,29.8,YES
16:57:37,44373.3,597.565,-2.435,-0.04,37.8,YES
16:57:37,44714.7,597.221,-2.779,-0.05,38.8,YES
16:57:38,45056.0,597.618,-2.382,-0.04,33.5,YES
16:57:38,45397.3,597.772,-2.228,-0.04,38.0,YES
16:57:38,45738.7,597.476,-2.524,-0.04,41.0,YES
16:57:39,46080.0,597.630,-2.370,-0.04,38.5,YES
16:57:39,46421.3,597.798,-2.202,-0.04,39.9,YES
16:57:39,46762.7,597.694,-2.306,-0.04,37.7,YES
16:57:40,47104.0,597.656,-2.344,-0.04,36.8,YES
16:57:40,47445.3,597.854,-2.146,-0.04,30.4,YES
16:57:40,47786.7,597.629,-2.371,-0.04,31.6,YES
16:57:41,48128.0,597.623,-2.377,-0.04,34.4,YES
16:57:41,48469.3,597.564,-2.436,-0.04,36.3,YES
16:57:41,48810.7,597.443,-2.557,-0.04,34.3,YES
16:57:42,49152.0,597.254,-2.746,-0.05,34.3,YES
16:57:42,49493.3,597.390,-2.610,-0.04,34.0,YES
16:57:43,49834.7,597.269,-2.731,-0.05,28.8,YES
16:57:43,50176.0,597.700,-2.300,-0.04,30.6,YES
16:57:43,50517.3,597.661,-2.339,-0.04,37.5,YES
16:57:44,50858.7,597.591,-2.409,-0.04,35.4,YES
16:57:44,51200.0,597.650,-2.350,-0.04,39.0,YES
16:57:44,51541.3,597.550,-2.450,-0.04,40.1,YES
16:57:45,51882.7,597.517,-2.483,-0.04,34.6,YES
16:57:45,52224.0,597.729,-2.271,-0.04,40.1,YES
16:57:45,52565.3,597.809,-2.191,-0.04,36.7,YES
16:57:46,52906.7,597.887,-2.113,-0.04,25.8,YES
16:57:46,53248.0,598.958,-1.042,-0.02,30.4,YES
16:57:46,53589.3,597.677,-2.323,-0.04,36.1,YES
16:57:47,53930.7,596.904,-3.096,-0.05,33.6,YES
16:57:47,54272.0,597.637,-2.363,-0.04,37.7,YES
16:57:47,54613.3,597.728,-2.272,-0.04,41.2,YES
16:57:48,54954.7,599.836,-0.164,-0.00,12.3,YES
16:57:48,55296.0,600.000,0.000,0.00,5.2,NO
16:57:48,55637.3,600.000,0.000,0.00,4.3,NO
16:57:49,55978.7,600.000,0.000,0.00,7.0,NO
16:57:49,56320.0,600.000,0.000,0.00,4.8,NO
16:57:49,56661.3,581.990,-18.010,-0.30,10.5,YES
16:57:50,57002.7,600.000,0.000,0.00,3.9,NO
16:57:50,57344.0,600.000,0.000,0.00,5.3,NO
16:57:50,57685.3,600.000,0.000,0.00,3.8,NO
16:57:51,58026.7,600.000,0.000,0.00,2.7,NO
16:57:51,58368.0,600.000,0.000,0.00,6.4,NO
16:57:51,58709.3,600.000,0.000,0.00,6.7,NO
16:57:52,59050.7,600.000,0.000,0.00,3.5,NO
16:57:52,59392.0,600.000,0.000,0.00,0.7,NO
16:57:52,59733.3,600.000,0.000,0.00,6.5,NO
16:57:53,60074.7,600.000,0.000,0.00,3.4,NO
16:57:53,60416.0,600.000,0.000,0.00,7.3,NO
16:57:53,60757.3,600.000,0.000,0.00,8.4,NO
16:57:54,61098.7,600.000,0.000,0.00,7.1,NO
16:57:54,61440.0,600.000,0.000,0.00,8.5,NO
16:57:54,61781.3,600.000,0.000,0.00,4.4,NO
16:57:55,62122.7,600.000,0.000,0.00,3.3,NO
16:57:55,62464.0,600.000,0.000,0.00,8.0,NO
16:57:55,62805.3,600.000,0.000,0.00,6.1,NO
16:57:56,63146.7,600.000,0.000,0.00,6.5,NO
